id,region,spp,date,count,sex
125,susquehanna,hellgrammite,2016-03-21,22,F
126,susquehanna,hellgrammite,2016-03-24,22,M
127,gulf of mexico,Sperm whale,2016-03-24,5,M
128,gulf of mexico,Sperm whale,3/24/2016,5,F
128,gulf of mexico,Sperm whale,2016-03-24,5,F
129,susquehanna,hellgrammite,3/28/2016,24,F
129,susquehanna,hellgrammite,2016-03-28,24,F
130,susquehanna,hellgrammite,2016-03-29,20,M
131,susquehanna,hellgrammite,3/29/2016,22,M
131,susquehanna,hellgrammite,2016-03-29,22,M
132,susquehanna,hellgrammite,2016-03-29,21,M?
133,susquehanna,hellgrammite,2016-03-29,20,F
134,susquehanna,hellgrammite,2016-03-29,20,M
135,susquehanna,hellgrammite,2016-03-29,20,F
136,miami,green Iguana,2016-04-04,32,m
137,susquehanna,hellgrammite,2016-04-04,20,F
138,susquehanna,hellgrammite,2016-04-04,21,m
139,susquehanna,hellgrammite,2016-04-04,23,F
140,susquehanna,hellgrammite,2016-04-04,19,F
141,susquehanna,hellgrammite,2016-04-05,21,M
142,susquehanna,hellgrammite,2016-04-05,22,M
143,susquehanna,hellgrammite,4/5/2016,18,m
143,susquehanna,hellgrammite,2016-04-05,18,m
144,susquehanna,hellgrammite,2016-04-06,21,M
145,miami,green Iguana,4/6/2016,38,M?
145,miami,green Iguana,2016-04-06,38,M?
146,susquehanna,hellgrammite,2016-04-06,19,f
147,susquehanna,hellgrammite,2016-04-06,20,m
148,susquehanna,hellgrammite,2016-04-08,21,F
149,susquehanna,hellgrammite,2016-04-08,21,m?
150,susquehanna,hellgrammite,2016-04-08,21,m
151,susquehanna,hellgrammite,2016-04-08,21,F
152,susquehanna,hellgrammite,2016-04-08,20,M
153,susquehanna,hellgrammite,2016-04-08,22,M
154,gulf of mexico,Sperm whale,2016-04-11,5,m
155,susquehanna,hellgrammite,2016-04-11,21,m
156,susquehanna,hellgrammite,4/11/2016,21,F?
156,susquehanna,hellgrammite,2016-04-11,21,F?
157,susquehanna,hellgrammite,4/11/2016,21,M
157,susquehanna,hellgrammite,2016-04-11,21,M
158,susquehanna,hellgrammite,2016-04-11,20,M
159,gulf of mexico,Sperm whale,2016-04-14,5,M
160,gulf of mexico,Sperm whale,2016-04-14,4,F
161,gulf of mexico,Sperm whale,2016-04-14,4,F
162,miami,green Iguana,2016-04-15,35,M
163,susquehanna,hellgrammite,2016-04-15,21,M
164,susquehanna,hellgrammite,2016-04-15,20,F
165,susquehanna,hellgramite,2016-04-15,18,M
166,susquehanna,hellgramite,2016-04-15,17,M
167,susquehanna,hellgrammite,2016-04-15,20,M
168,susquehanna,hellgrammite,2016-04-15,17,F
169,gulf of mexico,Sperm whale,4/15/2016,5,F
169,gulf of mexico,Sperm whale,2016-04-15,5,F
170,gulf of mexico,Sperm whale,2016-04-15,5,F
171,miami,green Iguana,2016-04-16,39,f
172,susquehanna,hellgrammite,2016-04-18,21,M
173,gulf of mexico,Sperm whale,2016-04-18,5,m
174,susquehanna,hellgrammite,2016-04-18,20,F
175,susquehanna,hellgrammite,2016-04-18,21,f
176,susquehanna,hellgrammite,2016-04-18,20,F
177,gulf of mexico,Sperm whale,2016-04-18,5,M
178,susquehanna,hellgrammite,2016-04-18,21,M
179,gulf of mexico,Sperm whale,2016-04-20,5,F
180,susquehanna,hellgrammite,2016-04-20,21,F
181,miami,green Iguana,2016-04-20,37,F
182,susquehanna,hellgrammite,4/21/2016,20,M
182,susquehanna,hellgrammite,2016-04-21,20,M
183,susquehanna,hellgrammite,2016-04-21,21,M
184,susquehanna,hellgramite,2016-04-25,16,M
185,susquehanna,hellgramite,2016-04-25,18,m
186,miami,green Iguana,2016-04-25,42,F?
187,miami,green Iguana,2016-04-26,41,F?
188,susquehanna,hellgrammite,2016-04-26,19,F
189,miami,green Iguana,2016-04-27,36,F
190,susquehanna,hellgramite,2016-04-27,17,F
191,gulf of mexico,Sperm whale,2016-04-28,5,M
192,susquehanna,hellgrammite,2016-04-28,20,m
193,susquehanna,hellgrammite,2016-04-28,20,M
194,susquehanna,hellgrammite,2016-04-28,19,F
195,susquehanna,hellgrammite,2016-04-28,19,F
196,susquehanna,hellgrammite,4/28/2016,20,m
196,susquehanna,hellgrammite,2016-04-28,20,m
197,susquehanna,hellgrammite,2016-04-28,19,F
198,gulf of mexico,Sperm whale,2016-04-30,4,M
199,susquehanna,hellgramite,4/30/2016,18,F
199,susquehanna,hellgramite,2016-04-30,18,F
200,gulf of mexico,Sperm whale,2016-04-30,4,F
201,gulf of mexico,Sperm whale,2016-05-02,5,F
202,gulf of mexico,Sperm whale,2016-05-03,5,M
203,miami,green Iguana,2016-05-04,37,M
204,susquehanna,hellgrammite,2016-05-04,22,F
205,susquehanna,hellgrammite,2016-05-05,19,M
206,susquehanna,hellgrammite,2016-05-05,18,f
207,susquehanna,hellgramite,2016-05-05,16,M
208,susquehanna,hellgrammite,2016-05-05,19,M
209,susquehanna,hellgrammite,2016-05-05,20,M
210,susquehanna,hellgrammite,5/5/2016,20,f
210,susquehanna,hellgrammite,2016-05-05,20,f
211,susquehanna,hellgramite,5/5/2016,18,m
211,susquehanna,hellgramite,2016-05-05,18,m
212,susquehanna,hellgramite,2016-05-05,20,f
213,susquehanna,hellgrammite,2016-05-05,20,m
214,susquehanna,hellgramite,2016-05-05,19,F
215,susquehanna,hellgramite,2016-05-06,17,M
216,gulf of mexico,Sperm whale,2016-05-06,5,F
217,susquehanna,hellgrammite,2016-05-06,21,M
218,gulf of mexico,Sperm whale,2016-05-06,4,M
219,miami,green Iguana,2016-05-11,36,m
220,gulf of mexico,Sperm whale,2016-05-14,5,M
221,gulf of mexico,Sperm whale,2016-05-14,5,F
222,susquehanna,hellgrammite,2016-05-14,21,f
223,gulf of mexico,Sperm whale,2016-05-14,4,F
224,gulf of mexico,Sperm whale,2016-05-14,5,F
225,gulf of mexico,Sperm whale,2016-05-14,4,F
226,susquehanna,hellgrammite,2016-05-18,23,F
227,miami,green Iguana,2016-05-18,37,M
228,susquehanna,hellgrammite,2016-05-20,21,m
229,susquehanna,hellgramite,5/21/2016,18,M
229,susquehanna,hellgramite,2016-05-21,18,M
230,susquehanna,hellgrammite,2016-05-23,24,f
231,gulf of mexico,Sperm whale,2016-05-23,5,f
232,susquehanna,hellgrammite,2016-05-23,20,F
233,gulf of mexico,Sperm whale,2016-05-23,4,F
234,gulf of mexico,Sperm whale,2016-05-23,4,F
235,gulf of mexico,Sperm whale,5/23/2016,5,f
235,gulf of mexico,Sperm whale,2016-05-23,5,f
236,gulf of mexico,Sperm whale,2016-05-23,5,F
237,gulf of mexico,Sperm whale,2016-05-23,5,F
238,gulf of mexico,Sperm whale,2016-05-24,4,f
239,gulf of mexico,Sperm whale,2016-05-24,4,M
240,gulf of mexico,Sperm whale,2016-05-24,5,M
241,susquehanna,hellgramite,2016-05-24,18,F
242,miami,green Iguana,2016-05-24,36,F
243,gulf of mexico,Sperm whale,2016-05-26,5,F
244,susquehanna,hellgramite,2016-05-27,18,M
245,susquehanna,hellgrammite,2016-05-27,22,M
246,susquehanna,hellgrammite,2016-05-27,19,M
247,susquehanna,hellgramite,2016-05-27,16,m
248,susquehanna,hellgrammite,2016-06-01,20,F
249,susquehanna,hellgrammite,2016-06-01,20,m
250,susquehanna,hellgrammite,2016-06-01,22,m
251,gulf of mexico,Sperm whale,2016-06-01,5,f
252,susquehanna,hellgramite,2016-06-01,18,F
253,susquehanna,hellgramite,2016-06-01,17,M
254,gulf of mexico,Sperm whale,2016-06-01,5,F
255,gulf of mexico,Sperm whale,2016-06-01,5,F
256,susquehanna,hellgrammite,2016-06-02,21,F
257,susquehanna,hellgrammite,2016-06-02,22,M
258,susquehanna,hellgramite,2016-06-02,18,M?
259,susquehanna,hellgrammite,2016-06-02,22,F
260,miami,green Iguana,6/3/2016,39,f
260,miami,green Iguana,2016-06-03,39,f
261,susquehanna,hellgrammite,2016-06-07,21,m
262,susquehanna,hellgrammite,2016-06-08,20,F
263,gulf of mexico,Sperm whale,2016-06-13,5,F
264,susquehanna,hellgrammite,2016-06-13,19,M
265,susquehanna,hellgramite,2016-06-13,15,M
266,susquehanna,hellgramite,2016-06-14,18,m
267,susquehanna,hellgrammite,2016-06-15,20,F
268,susquehanna,hellgrammite,2016-06-15,21,F
269,susquehanna,hellgrammite,2016-06-15,19,m
270,susquehanna,hellgrammite,2016-06-15,19,f
271,gulf of mexico,Sperm whale,2016-06-15,5,M
272,susquehanna,hellgramite,2016-06-15,16,m
273,miami,green Iguana,2016-06-18,37,F
274,susquehanna,hellgrammite,2016-06-18,20,F
275,susquehanna,hellgrammite,6/19/2016,21,M
275,susquehanna,hellgrammite,2016-06-19,21,M
276,susquehanna,hellgrammite,2016-06-19,20,M
277,susquehanna,hellgramite,2016-06-21,17,m
278,susquehanna,hellgramite,2016-06-22,18,M
279,susquehanna,hellgramite,2016-06-22,18,M
280,susquehanna,hellgramite,2016-06-23,17,f
281,susquehanna,hellgramite,2016-06-23,17,M
282,susquehanna,hellgramite,2016-06-23,17,M
283,susquehanna,hellgramite,6/23/2016,17,M
283,susquehanna,hellgramite,2016-06-23,17,M
284,susquehanna,hellgramite,2016-06-23,17,M
285,susquehanna,hellgramite,2016-06-23,18,F
286,susquehanna,hellgramite,2016-06-23,17,m
287,susquehanna,hellgramite,2016-06-24,17,M
288,susquehanna,hellgramite,2016-06-24,18,M
289,susquehanna,hellgramite,2016-06-24,18,M
290,susquehanna,hellgrammite,2017-03-22,21,M
291,susquehanna,hellgrammite,2017-03-22,21,M
292,susquehanna,hellgrammite,2017-03-22,19,f
293,susquehanna,hellgrammite,2017-03-22,21,M
294,susquehanna,hellgrammite,2017-03-23,21,M
295,susquehanna,hellgrammite,2017-03-25,19,m
296,gulf of mexico,Sperm whale,2017-03-25,5,m
297,gulf of mexico,Sperm whale,2017-03-25,4,F
298,miami,green Iguana,3/25/2017,39,F
298,miami,green Iguana,2017-03-25,39,F
299,gulf of mexico,Sperm whale,2017-03-27,5,F
300,susquehanna,hellgrammite,2017-03-27,21,F
301,gulf of mexico,Sperm whale,3/29/2017,5,F
301,gulf of mexico,Sperm whale,2017-03-29,5,F
302,gulf of mexico,Sperm whale,2017-03-29,5,f
303,miami,green Iguana,2017-04-03,35,M
304,susquehanna,hellgrammite,4/4/2017,22,f
304,susquehanna,hellgrammite,2017-04-04,22,f
305,susquehanna,hellgrammite,2017-04-04,22,M
306,gulf of mexico,Sperm whale,2017-04-07,5,m
307,miami,green Iguana,2017-04-08,37,F
308,susquehanna,hellgrammite,2017-04-09,21,F
309,gulf of mexico,Sperm whale,4/9/2017,5,f
309,gulf of mexico,Sperm whale,2017-04-09,5,f
310,gulf of mexico,Sperm whale,2017-04-09,5,m
311,susquehanna,hellgrammite,2017-04-10,20,M
312,gulf of mexico,Sperm whale,2017-04-11,4,F
313,susquehanna,hellgrammite,2017-04-11,20,M
314,miami,green Iguana,2017-04-12,38,M
315,gulf of mexico,Sperm whale,2017-04-14,5,M
316,gulf of mexico,Sperm whale,2017-04-14,5,F
317,gulf of mexico,Sperm whale,2017-04-14,5,F
318,miami,green Iguana,2017-04-15,37,F
319,susquehanna,hellgrammite,4/17/2017,20,m
319,susquehanna,hellgrammite,2017-04-17,20,m
320,susquehanna,hellgrammite,2017-04-18,20,M
321,susquehanna,hellgrammite,2017-04-18,21,m?
322,gulf of mexico,Sperm whale,2017-04-20,5,m
323,gulf of mexico,Sperm whale,2017-04-20,5,M
324,susquehanna,hellgramite,2017-04-21,16,M
325,miami,green Iguana,2017-04-22,35,M
326,susquehanna,hellgrammite,2017-04-22,20,m
327,susquehanna,hellgrammite,2017-04-22,22,F
328,susquehanna,hellgrammite,2017-04-24,20,F
329,susquehanna,hellgrammite,2017-04-24,19,f
330,susquehanna,hellgramite,2017-04-24,18,m
331,susquehanna,hellgrammite,2017-04-25,17,F
332,susquehanna,hellgrammite,2017-04-25,20,m
333,susquehanna,hellgrammite,2017-04-25,18,F
334,susquehanna,hellgrammite,2017-04-25,18,m
335,susquehanna,hellgrammite,2017-04-25,19,F
336,susquehanna,hellgrammite,4/25/2017,22,F?
336,susquehanna,hellgrammite,2017-04-25,22,F?
337,susquehanna,hellgrammite,2017-04-27,20,m
338,gulf of mexico,Sperm whale,2017-04-27,5,M
339,susquehanna,hellgrammite,2017-04-27,19,f
340,susquehanna,hellgrammite,2017-04-28,21,M
341,susquehanna,hellgrammite,4/28/2017,21,F
341,susquehanna,hellgrammite,2017-04-28,21,F
342,susquehanna,hellgrammite,2017-04-28,19,F
343,susquehanna,hellgrammite,2017-04-28,21,F
344,susquehanna,hellgramite,2017-04-30,17,M
345,susquehanna,hellgrammite,2017-05-02,20,F
346,susquehanna,hellgrammite,2017-05-02,21,m
347,susquehanna,hellgrammite,2017-05-02,20,F
348,miami,green Iguana,2017-05-03,35,M
349,gulf of mexico,Sperm whale,2017-05-03,4,M
350,miami,green Iguana,2017-05-05,35,M
351,miami,green Iguana,2017-05-05,32,M
352,miami,green Iguana,2017-05-05,43,F
353,susquehanna,hellgrammite,2017-05-07,21,f
354,susquehanna,hellgrammite,2017-05-07,20,M
355,susquehanna,hellgrammite,2017-05-08,23,M
356,gulf of mexico,Sperm whale,2017-05-09,4,f
357,susquehanna,hellgrammite,2017-05-10,20,F
358,susquehanna,hellgrammite,2017-05-10,19,f
359,gulf of mexico,Sperm whale,2017-05-11,5,m
360,susquehanna,hellgrammite,2017-05-13,22,f
361,gulf of mexico,Sperm whale,5/13/2017,5,M
361,gulf of mexico,Sperm whale,2017-05-13,5,M
362,susquehanna,hellgramite,2017-05-14,18,M
363,gulf of mexico,Sperm whale,2017-05-15,4,F
364,miami,green Iguana,2017-05-16,36,M
365,susquehanna,hellgrammite,2017-05-16,19,F
366,susquehanna,hellgramite,2017-05-19,19,m
367,susquehanna,hellgramite,2017-05-22,19,M
368,susquehanna,hellgramite,2017-05-22,16,m
369,susquehanna,hellgrammite,2017-05-24,21,M
370,susquehanna,hellgrammite,2017-05-24,19,f
371,miami,green Iguana,2017-05-25,38,F
372,miami,green Iguana,2017-05-25,35,M
373,susquehanna,hellgrammite,2017-05-25,18,F
374,susquehanna,hellgramite,5/25/2017,16,M
374,susquehanna,hellgramite,2017-05-25,16,M
375,susquehanna,hellgramite,2017-05-26,17,m
376,susquehanna,hellgrammite,2017-05-26,17,F
377,susquehanna,hellgramite,2017-05-26,18,M
378,susquehanna,hellgrammite,2017-05-27,19,M
379,susquehanna,hellgrammite,2017-05-29,20,M
380,susquehanna,hellgrammite,2017-05-29,18,f
381,susquehanna,hellgramite,2017-05-29,18,M
382,susquehanna,hellgrammite,2017-05-30,20,M
383,susquehanna,hellgrammite,6/1/2017,22,F
383,susquehanna,hellgrammite,2017-06-01,22,F
384,gulf of mexico,Sperm whale,6/1/2017,4,F
384,gulf of mexico,Sperm whale,2017-06-01,4,F
385,gulf of mexico,Sperm whale,2017-06-01,5,F
386,susquehanna,hellgrammite,2017-06-02,19,M
387,miami,green Iguana,2017-06-03,35,M
388,susquehanna,hellgramite,2017-06-03,21,F
389,gulf of mexico,Sperm whale,2017-06-03,5,F
390,susquehanna,hellgrammite,6/6/2017,21,m
390,susquehanna,hellgrammite,2017-06-06,21,m
391,susquehanna,hellgrammite,2017-06-07,20,f
392,susquehanna,hellgrammite,2017-06-07,22,M
393,gulf of mexico,Sperm whale,2017-06-08,5,F
394,gulf of mexico,Sperm whale,2017-06-08,4,f
395,susquehanna,hellgramite,2017-06-10,17,M
396,susquehanna,hellgrammite,2017-06-11,20,M
397,susquehanna,hellgrammite,2017-06-11,20,F
398,susquehanna,hellgrammite,2017-06-11,20,F
399,gulf of mexico,Sperm whale,6/11/2017,5,F
399,gulf of mexico,Sperm whale,2017-06-11,5,F
400,susquehanna,hellgramite,2017-06-12,16,M
401,susquehanna,hellgrammite,2017-06-12,17,F
402,susquehanna,hellgramite,2017-06-12,18,F
403,susquehanna,hellgrammite,2017-06-13,18,M
404,susquehanna,hellgrammite,2017-06-14,22,m
405,susquehanna,hellgrammite,6/15/2017,18,F
405,susquehanna,hellgrammite,2017-06-15,18,F
406,miami,Green iguana,2017-05-12,6,f
407,miami,Green iguana,2017-05-24,6,F
408,miami,Green iguana,2017-05-26,6,f
409,miami,Green iguana,2017-06-14,6,M
410,miami,Green iguana,2017-06-26,6,f
411,miami,Green iguana,2017-07-06,5,F
412,miami,green Iguana,2017-07-07,42,F
413,susquehanna,hellgrammite,2012-06-06,17,F
414,susquehanna,hellgrammite,6/6/2012,20,M
414,susquehanna,hellgrammite,2012-06-06,20,M
415,susquehanna,hellgrammite,2012-06-07,18,m
416,susquehanna,hellgrammite,2012-06-10,19,f
417,susquehanna,hellgrammite,2012-06-15,19,M
418,susquehanna,hellgrammite,2012-06-15,20,M
419,susquehanna,hellgrammite,6/19/2012,20,F
419,susquehanna,hellgrammite,2012-06-19,20,F
420,susquehanna,hellgrammite,2012-06-19,19,M
421,susquehanna,hellgrammite,2012-06-19,18,f
422,susquehanna,hellgrammite,2012-06-19,20,m
423,susquehanna,hellgrammite,2012-06-19,21,m
424,susquehanna,hellgrammite,2012-06-19,23,F?
425,gulf of mexico,Sperm whale,2012-06-20,5,M
426,susquehanna,hellgrammite,2012-06-21,19,m
427,susquehanna,hellgrammite,2012-06-21,21,M
428,susquehanna,hellgrammite,2012-06-21,17,F
429,susquehanna,hellgrammite,2012-06-21,21,M
430,susquehanna,hellgrammite,2012-06-21,22,F
431,susquehanna,hellgrammite,2012-06-21,20,F
432,susquehanna,hellgrammite,2012-06-21,20,m
433,susquehanna,hellgrammite,2012-06-21,20,f
434,susquehanna,hellgrammite,2012-06-21,20,f
435,gulf of mexico,Sperm whale,2012-06-28,5,M
436,susquehanna,hellgrammite,6/28/2012,19,F
436,susquehanna,hellgrammite,2012-06-28,19,F
437,susquehanna,hellgrammite,2012-06-28,20,M
438,susquehanna,hellgrammite,6/28/2012,18,f?
438,susquehanna,hellgrammite,2012-06-28,18,f?
439,susquehanna,hellgrammite,2012-06-28,20,F
440,susquehanna,hellgrammite,2012-07-02,20,M
441,susquehanna,hellgrammite,2012-07-03,19,F
442,susquehanna,hellgrammite,2012-07-06,22,M
443,susquehanna,hellgrammite,7/12/2012,19,F
443,susquehanna,hellgrammite,2012-07-12,19,F
444,susquehanna,hellgrammite,2012-07-12,22,M
445,susquehanna,hellgrammite,2012-07-13,20,M
446,susquehanna,hellgrammite,2012-07-14,19,f
447,gulf of mexico,Sperm whale,7/14/2012,5,m
447,gulf of mexico,Sperm whale,2012-07-14,5,m
448,susquehanna,hellgrammite,2012-07-17,19,F
449,susquehanna,hellgrammite,2012-07-17,19,F
450,susquehanna,hellgrammite,2012-07-17,20,M
451,susquehanna,hellgrammite,2012-07-18,21,m
452,susquehanna,hellgrammite,2012-07-18,20,F?
453,susquehanna,hellgrammite,2012-07-18,19,F
454,susquehanna,hellgrammite,2012-07-19,19,M
455,susquehanna,hellgrammite,2012-07-19,18,F
456,susquehanna,hellgrammite,2012-07-20,22,f
457,susquehanna,hellgrammite,2012-07-20,19,F
458,susquehanna,hellgrammite,2012-07-20,19,M
459,susquehanna,hellgrammite,7/25/2012,18,F
459,susquehanna,hellgrammite,2012-07-25,18,F
460,gulf of mexico,Sperm whale,7/26/2012,5,m
460,gulf of mexico,Sperm whale,2012-07-26,5,m
461,susquehanna,hellgrammite,2012-07-26,21,F
462,susquehanna,hellgrammite,2012-07-26,19,M
463,susquehanna,hellgrammite,2012-07-26,19,F
464,susquehanna,hellgrammite,2012-07-27,19,F
465,susquehanna,hellgrammite,2012-07-30,19,f
466,susquehanna,hellgrammite,2012-07-30,20,F
467,susquehanna,hellgrammite,2012-07-31,20,M
468,susquehanna,hellgrammite,8/1/2012,20,F
468,susquehanna,hellgrammite,2012-08-01,20,F
469,susquehanna,hellgrammite,2012-08-02,20,M
470,susquehanna,hellgrammite,2012-08-03,19,F
471,susquehanna,hellgrammite,2012-08-03,18,M
472,susquehanna,hellgrammite,2012-08-03,22,M
473,susquehanna,hellgrammite,2013-04-16,19,M
474,susquehanna,hellgrammite,2013-04-18,21,M
475,susquehanna,hellgrammite,2013-04-26,20,M
476,susquehanna,hellgrammite,2013-04-26,19,M
477,susquehanna,hellgrammite,2013-04-26,21,F
